State,County,LILATracts_halfAnd10,LILATracts_1And10,LILATracts_1And20,LILATracts_Vehicle,NumTracts,LILATracts_halfAnd10_ratio,LILATracts_1And10_ratio,LILATracts_1And20_ratio,LILATracts_Vehicle_ratio,LILATracts_halfAnd10_flag,LILATracts_1And10_flag,LILATracts_1And20_flag,LILATracts_Vehicle_flag
Alabama,Covington County,5,3,2,1,14,0.36,0.21,0.14,0.07,0,0,0,0
Alabama,Crenshaw County,2,2,0,0,6,0.33,0.33,0.0,0.0,0,0,0,0
Alabama,Cullman County,2,1,0,3,18,0.11,0.06,0.0,0.17,0,0,0,0
Alabama,Dale County,2,1,1,3,14,0.14,0.07,0.07,0.21,0,0,0,0
Alabama,Dallas County,8,4,2,7,15,0.53,0.27,0.13,0.47,1,0,0,0
Alabama,DeKalb County,0,0,0,3,14,0.0,0.0,0.0,0.21,0,0,0,0
Alabama,Elmore County,1,1,1,1,15,0.07,0.07,0.07,0.07,0,0,0,0
Alabama,Escambia County,3,3,2,1,9,0.33,0.33,0.22,0.11,0,0,0,0
Alabama,Etowah County,13,9,9,2,30,0.43,0.3,0.3,0.07,0,0,0,0
Alabama,Fayette County,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0,0
Alabama,Franklin County,2,2,2,0,9,0.22,0.22,0.22,0.0,0,0,0,0
Alabama,Geneva County,1,1,1,1,6,0.17,0.17,0.17,0.17,0,0,0,0
Alabama,Greene County,2,2,0,3,3,0.67,0.67,0.0,1.0,1,1,0,1
Alabama,Hale County,2,2,0,1,6,0.33,0.33,0.0,0.17,0,0,0,0
Alabama,Henry County,0,0,0,0,6,0.0,0.0,0.0,0.0,0,0,0,0
Alabama,Houston County,7,3,3,3,22,0.32,0.14,0.14,0.14,0,0,0,0
Alabama,Jackson County,3,3,2,4,11,0.27,0.27,0.18,0.36,0,0,0,0
Alabama,Jefferson County,81,54,54,50,163,0.5,0.33,0.33,0.31,1,0,0,0
Alabama,Lamar County,0,0,0,2,3,0.0,0.0,0.0,0.67,0,0,0,1
Alabama,Lauderdale County,9,4,3,7,22,0.41,0.18,0.14,0.32,0,0,0,0
Alabama,Lawrence County,2,2,1,2,9,0.22,0.22,0.11,0.22,0,0,0,0
Alabama,Lee County,15,10,10,6,27,0.56,0.37,0.37,0.22,1,0,0,0
Alabama,Limestone County,4,3,3,3,16,0.25,0.19,0.19,0.19,0,0,0,0
Alabama,Lowndes County,2,2,0,4,4,0.5,0.5,0.0,1.0,1,1,0,1
Alabama,Macon County,8,7,5,4,12,0.67,0.58,0.42,0.33,1,1,0,0
Alabama,Madison County,26,17,17,11,73,0.36,0.23,0.23,0.15,0,0,0,0
Alabama,Marengo County,4,4,1,2,6,0.67,0.67,0.17,0.33,1,1,0,0
Alabama,Marion County,0,0,0,1,8,0.0,0.0,0.0,0.12,0,0,0,0
Alabama,Marshall County,6,6,6,3,18,0.33,0.33,0.33,0.17,0,0,0,0
Alabama,Mobile County,45,21,21,15,114,0.39,0.18,0.18,0.13,0,0,0,0
Alabama,Monroe County,3,3,0,4,7,0.43,0.43,0.0,0.57,0,0,0,1
Alabama,Montgomery County,37,18,16,23,65,0.57,0.28,0.25,0.35,1,0,0,0
Alabama,Morgan County,6,3,3,4,27,0.22,0.11,0.11,0.15,0,0,0,0
Alabama,Perry County,3,3,0,2,3,1.0,1.0,0.0,0.67,1,1,0,1
Alabama,Pickens County,0,0,0,3,5,0.0,0.0,0.0,0.6,0,0,0,1
Alabama,Pike County,1,1,1,1,8,0.12,0.12,0.12,0.12,0,0,0,0
Alabama,Randolph County,2,2,0,1,6,0.33,0.33,0.0,0.17,0,0,0,0
Alabama,Russell County,5,2,1,6,13,0.38,0.15,0.08,0.46,0,0,0,0
Alabama,Shelby County,3,1,1,1,48,0.06,0.02,0.02,0.02,0,0,0,0
Alabama,St. Clair County,0,0,0,1,13,0.0,0.0,0.0,0.08,0,0,0,0
Alabama,Sumter County,1,1,0,3,4,0.25,0.25,0.0,0.75,0,0,0,1
Alabama,Talladega County,6,5,5,9,22,0.27,0.23,0.23,0.41,0,0,0,0
Alabama,Tallapoosa County,1,1,1,6,10,0.1,0.1,0.1,0.6,0,0,0,1
Alabama,Tuscaloosa County,18,4,4,5,47,0.38,0.09,0.09,0.11,0,0,0,0
Alabama,Walker County,2,2,2,4,18,0.11,0.11,0.11,0.22,0,0,0,0
Alabama,Washington County,1,1,0,0,5,0.2,0.2,0.0,0.0,0,0,0,0
Alabama,Wilcox County,3,3,0,3,4,0.75,0.75,0.0,0.75,1,1,0,1
Alabama,Winston County,1,1,0,3,7,0.14,0.14,0.0,0.43,0,0,0,0
Alaska,Aleutians East Borough,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Aleutians West Census Area,1,1,1,1,2,0.5,0.5,0.5,0.5,1,1,1,1
Alaska,Anchorage Municipality,17,5,5,8,55,0.31,0.09,0.09,0.15,0,0,0,0
Alaska,Bethel Census Area,2,2,2,2,3,0.67,0.67,0.67,0.67,1,1,1,1
Alaska,Bristol Bay Borough,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Denali Borough,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Dillingham Census Area,1,1,1,1,2,0.5,0.5,0.5,0.5,1,1,1,1
Alaska,Fairbanks North Star Borough,4,2,2,3,19,0.21,0.11,0.11,0.16,0,0,0,0
Alaska,Haines Borough,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Hoonah-Angoon Census Area,1,1,0,0,2,0.5,0.5,0.0,0.0,1,1,0,0
Alaska,Juneau City and Borough,0,0,0,0,6,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Kenai Peninsula Borough,3,3,2,2,13,0.23,0.23,0.15,0.15,0,0,0,0
Alaska,Ketchikan Gateway Borough,1,0,0,1,4,0.25,0.0,0.0,0.25,0,0,0,0
Alaska,Kodiak Island Borough,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Kusilvak Census Area,0,0,0,1,1,0.0,0.0,0.0,1.0,0,0,0,1
Alaska,Lake and Peninsula Borough,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
Alaska,Matanuska-Susitna Borough,7,7,3,1,24,0.29,0.29,0.12,0.04,0,0,0,0
Alaska,Nome Census Area,1,1,1,1,2,0.5,0.5,0.5,0.5,1,1,1,1
Alaska,North Slope Borough,1,1,1,1,3,0.33,0.33,0.33,0.33,0,0,0,0
Alaska,Northwest Arctic Borough,1,1,1,1,2,0.5,0.5,0.5,0.5,1,1,1,1
Alaska,Petersburg Borough,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Prince of Wales-Hyder Census Area,1,1,1,1,4,0.25,0.25,0.25,0.25,0,0,0,0
Alaska,Sitka City and Borough,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Skagway Municipality,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Southeast Fairbanks Census Area,1,1,1,1,2,0.5,0.5,0.5,0.5,1,1,1,1
Alaska,Valdez-Cordova Census Area,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Wrangell City and Borough,1,1,0,0,1,1.0,1.0,0.0,0.0,1,1,0,0
Alaska,Yakutat City and Borough,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Alaska,Yukon-Koyukuk Census Area,4,4,4,4,4,1.0,1.0,1.0,1.0,1,1,1,1
Arizona,Apache County,10,10,7,12,16,0.62,0.62,0.44,0.75,1,1,0,1
Arizona,Cochise County,19,15,12,7,32,0.59,0.47,0.38,0.22,1,0,0,0
Arizona,Coconino County,11,8,8,4,28,0.39,0.29,0.29,0.14,0,0,0,0
Arizona,Gila County,7,6,5,4,16,0.44,0.38,0.31,0.25,0,0,0,0
Arizona,Graham County,3,2,1,1,9,0.33,0.22,0.11,0.11,0,0,0,0
Arizona,Greenlee County,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0
Arizona,La Paz County,4,4,3,4,8,0.5,0.5,0.38,0.5,1,1,0,1
Arizona,Maricopa County,284,97,96,111,913,0.31,0.11,0.11,0.12,0,0,0,0
Arizona,Mohave County,24,20,16,12,43,0.56,0.47,0.37,0.28,1,0,0,0
Arizona,Navajo County,20,19,11,12,31,0.65,0.61,0.35,0.39,1,1,0,0
Arizona,Pima County,94,29,26,51,241,0.39,0.12,0.11,0.21,0,0,0,0
Arizona,Pinal County,22,19,18,11,75,0.29,0.25,0.24,0.15,0,0,0,0
Arizona,Santa Cruz County,7,4,4,1,10,0.7,0.4,0.4,0.1,1,0,0,0
Arizona,Yavapai County,12,11,8,5,42,0.29,0.26,0.19,0.12,0,0,0,0
Arizona,Yuma County,29,13,11,2,53,0.55,0.25,0.21,0.04,1,0,0,0
Arkansas,Arkansas County,2,2,2,1,8,0.25,0.25,0.25,0.12,0,0,0,0
Arkansas,Ashley County,2,2,1,1,7,0.29,0.29,0.14,0.14,0,0,0,0
Arkansas,Baxter County,0,0,0,0,9,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Benton County,7,4,4,0,49,0.14,0.08,0.08,0.0,0,0,0,0
Arkansas,Boone County,2,2,2,2,7,0.29,0.29,0.29,0.29,0,0,0,0
Arkansas,Bradley County,1,1,0,0,5,0.2,0.2,0.0,0.0,0,0,0,0
Arkansas,Calhoun County,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Carroll County,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Chicot County,3,2,1,3,4,0.75,0.5,0.25,0.75,1,1,0,1
Arkansas,Clark County,2,1,1,2,5,0.4,0.2,0.2,0.4,0,0,0,0
Arkansas,Clay County,2,1,1,2,6,0.33,0.17,0.17,0.33,0,0,0,0
Arkansas,Cleburne County,0,0,0,0,7,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Cleveland County,1,1,0,0,2,0.5,0.5,0.0,0.0,1,1,0,0
Arkansas,Columbia County,3,3,2,2,5,0.6,0.6,0.4,0.4,1,1,0,0
Arkansas,Conway County,2,2,1,1,6,0.33,0.33,0.17,0.17,0,0,0,0
Arkansas,Craighead County,7,3,3,5,17,0.41,0.18,0.18,0.29,0,0,0,0
Arkansas,Crawford County,2,2,2,1,11,0.18,0.18,0.18,0.09,0,0,0,0
Arkansas,Crittenden County,11,5,3,6,20,0.55,0.25,0.15,0.3,1,0,0,0
Arkansas,Cross County,2,2,1,2,6,0.33,0.33,0.17,0.33,0,0,0,0
Arkansas,Dallas County,1,1,1,1,3,0.33,0.33,0.33,0.33,0,0,0,0
Arkansas,Desha County,3,3,2,2,5,0.6,0.6,0.4,0.4,1,1,0,0
Arkansas,Drew County,1,1,1,0,5,0.2,0.2,0.2,0.0,0,0,0,0
Arkansas,Faulkner County,8,4,3,2,25,0.32,0.16,0.12,0.08,0,0,0,0
Arkansas,Franklin County,1,1,0,1,3,0.33,0.33,0.0,0.33,0,0,0,0
Arkansas,Fulton County,1,1,0,1,2,0.5,0.5,0.0,0.5,1,1,0,1
Arkansas,Garland County,9,5,5,8,20,0.45,0.25,0.25,0.4,0,0,0,0
Arkansas,Grant County,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Greene County,1,0,0,0,9,0.11,0.0,0.0,0.0,0,0,0,0
Arkansas,Hempstead County,2,2,2,2,5,0.4,0.4,0.4,0.4,0,0,0,0
Arkansas,Hot Spring County,2,2,2,1,7,0.29,0.29,0.29,0.14,0,0,0,0
Arkansas,Howard County,1,1,1,1,3,0.33,0.33,0.33,0.33,0,0,0,0
Arkansas,Independence County,2,2,1,0,8,0.25,0.25,0.12,0.0,0,0,0,0
Arkansas,Izard County,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Jackson County,3,3,2,1,5,0.6,0.6,0.4,0.2,1,1,0,0
Arkansas,Jefferson County,15,8,7,8,24,0.62,0.33,0.29,0.33,1,0,0,0
Arkansas,Johnson County,4,4,3,1,6,0.67,0.67,0.5,0.17,1,1,1,0
Arkansas,Lafayette County,1,1,0,2,2,0.5,0.5,0.0,1.0,1,1,0,1
Arkansas,Lawrence County,2,2,1,0,6,0.33,0.33,0.17,0.0,0,0,0,0
Arkansas,Lee County,2,2,1,2,4,0.5,0.5,0.25,0.5,1,1,0,1
Arkansas,Lincoln County,1,1,0,1,4,0.25,0.25,0.0,0.25,0,0,0,0
Arkansas,Little River County,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Logan County,2,2,2,1,6,0.33,0.33,0.33,0.17,0,0,0,0
Arkansas,Lonoke County,2,1,1,1,16,0.12,0.06,0.06,0.06,0,0,0,0
Arkansas,Madison County,2,2,0,0,4,0.5,0.5,0.0,0.0,1,1,0,0
Arkansas,Marion County,1,1,0,2,4,0.25,0.25,0.0,0.5,0,0,0,1
Arkansas,Miller County,6,2,2,4,12,0.5,0.17,0.17,0.33,1,0,0,0
Arkansas,Mississippi County,4,3,3,3,12,0.33,0.25,0.25,0.25,0,0,0,0
Arkansas,Monroe County,1,1,1,1,3,0.33,0.33,0.33,0.33,0,0,0,0
Arkansas,Montgomery County,2,2,0,0,3,0.67,0.67,0.0,0.0,1,1,0,0
Arkansas,Nevada County,3,3,1,1,3,1.0,1.0,0.33,0.33,1,1,0,0
Arkansas,Newton County,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Ouachita County,4,4,3,3,6,0.67,0.67,0.5,0.5,1,1,1,1
Arkansas,Perry County,0,0,0,1,3,0.0,0.0,0.0,0.33,0,0,0,0
Arkansas,Phillips County,3,3,2,5,6,0.5,0.5,0.33,0.83,1,1,0,1
Arkansas,Pike County,1,1,0,1,3,0.33,0.33,0.0,0.33,0,0,0,0
Arkansas,Poinsett County,1,1,1,3,7,0.14,0.14,0.14,0.43,0,0,0,0
Arkansas,Polk County,3,3,0,0,6,0.5,0.5,0.0,0.0,1,1,0,0
Arkansas,Pope County,4,4,3,2,11,0.36,0.36,0.27,0.18,0,0,0,0
Arkansas,Prairie County,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Pulaski County,36,30,30,25,95,0.38,0.32,0.32,0.26,0,0,0,0
Arkansas,Randolph County,2,1,0,0,4,0.5,0.25,0.0,0.0,1,0,0,0
Arkansas,Saline County,0,0,0,0,21,0.0,0.0,0.0,0.0,0,0,0,0
Arkansas,Scott County,2,2,1,1,3,0.67,0.67,0.33,0.33,1,1,0,0
Arkansas,Searcy County,1,1,0,1,3,0.33,0.33,0.0,0.33,0,0,0,0
Arkansas,Sebastian County,12,5,5,6,26,0.46,0.19,0.19,0.23,0,0,0,0
Arkansas,Sevier County,1,1,1,0,4,0.25,0.25,0.25,0.0,0,0,0,0
Arkansas,Sharp County,1,1,0,0,4,0.25,0.25,0.0,0.0,0,0,0,0
Arkansas,St. Francis County,3,3,2,5,6,0.5,0.5,0.33,0.83,1,1,0,1
Arkansas,Stone County,1,1,0,0,3,0.33,0.33,0.0,0.0,0,0,0,0
Arkansas,Union County,4,4,3,1,10,0.4,0.4,0.3,0.1,0,0,0,0
Arkansas,Van Buren County,2,2,0,1,5,0.4,0.4,0.0,0.2,0,0,0,0
Arkansas,Washington County,11,6,5,8,32,0.34,0.19,0.16,0.25,0,0,0,0
Arkansas,White County,2,1,1,3,13,0.15,0.08,0.08,0.23,0,0,0,0
Arkansas,Woodruff County,0,0,0,2,2,0.0,0.0,0.0,1.0,0,0,0,1
Arkansas,Yell County,3,3,0,0,6,0.5,0.5,0.0,0.0,1,1,0,0
California,Alameda County,83,11,11,34,360,0.23,0.03,0.03,0.09,0,0,0,0
California,Alpine County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
California,Amador County,0,0,0,0,9,0.0,0.0,0.0,0.0,0,0,0,0
California,Butte County,26,14,14,11,51,0.51,0.27,0.27,0.22,1,0,0,0
California,Calaveras County,0,0,0,0,10,0.0,0.0,0.0,0.0,0,0,0,0
California,Colusa County,1,1,1,0,5,0.2,0.2,0.2,0.0,0,0,0,0
California,Contra Costa County,64,15,15,15,207,0.31,0.07,0.07,0.07,0,0,0,0
California,Del Norte County,4,2,1,2,7,0.57,0.29,0.14,0.29,1,0,0,0
California,El Dorado County,4,2,2,1,42,0.1,0.05,0.05,0.02,0,0,0,0
California,Fresno County,100,27,25,34,199,0.5,0.14,0.13,0.17,1,0,0,0
California,Glenn County,3,2,1,1,6,0.5,0.33,0.17,0.17,1,0,0,0
California,Humboldt County,14,7,5,5,30,0.47,0.23,0.17,0.17,0,0,0,0
California,Imperial County,18,9,9,12,31,0.58,0.29,0.29,0.39,1,0,0,0
California,Inyo County,1,1,1,1,6,0.17,0.17,0.17,0.17,0,0,0,0
California,Kern County,86,27,22,26,151,0.57,0.18,0.15,0.17,1,0,0,0
California,Kings County,15,5,5,4,27,0.56,0.19,0.19,0.15,1,0,0,0
California,Lake County,4,1,1,5,15,0.27,0.07,0.07,0.33,0,0,0,0
California,Lassen County,3,3,2,3,9,0.33,0.33,0.22,0.33,0,0,0,0
California,Los Angeles County,545,61,61,110,2334,0.23,0.03,0.03,0.05,0,0,0,0
California,Madera County,7,3,3,3,23,0.3,0.13,0.13,0.13,0,0,0,0
California,Marin County,1,0,0,0,55,0.02,0.0,0.0,0.0,0,0,0,0
California,Mariposa County,0,0,0,0,6,0.0,0.0,0.0,0.0,0,0,0,0
California,Mendocino County,10,6,3,3,20,0.5,0.3,0.15,0.15,1,0,0,0
California,Merced County,25,13,12,6,49,0.51,0.27,0.24,0.12,1,0,0,0
California,Modoc County,3,2,2,2,4,0.75,0.5,0.5,0.5,1,1,1,1
California,Mono County,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0
California,Monterey County,17,3,2,1,93,0.18,0.03,0.02,0.01,0,0,0,0
California,Napa County,6,0,0,1,40,0.15,0.0,0.0,0.02,0,0,0,0
California,Nevada County,6,6,6,2,20,0.3,0.3,0.3,0.1,0,0,0,0
California,Orange County,74,6,6,14,582,0.13,0.01,0.01,0.02,0,0,0,0
California,Placer County,5,4,4,4,84,0.06,0.05,0.05,0.05,0,0,0,0
California,Plumas County,0,0,0,0,7,0.0,0.0,0.0,0.0,0,0,0,0
California,Riverside County,165,61,60,29,453,0.36,0.13,0.13,0.06,0,0,0,0
California,Sacramento County,120,25,24,27,317,0.38,0.08,0.08,0.09,0,0,0,0
California,San Benito County,8,4,3,0,11,0.73,0.36,0.27,0.0,1,0,0,0
California,San Bernardino County,174,80,76,45,368,0.47,0.22,0.21,0.12,0,0,0,0
California,San Diego County,128,25,23,14,627,0.2,0.04,0.04,0.02,0,0,0,0
California,San Francisco County,16,3,3,7,195,0.08,0.02,0.02,0.04,0,0,0,0
California,San Joaquin County,55,14,14,12,139,0.4,0.1,0.1,0.09,0,0,0,0
California,San Luis Obispo County,11,1,1,3,53,0.21,0.02,0.02,0.06,0,0,0,0
California,San Mateo County,7,0,0,1,156,0.04,0.0,0.0,0.01,0,0,0,0
California,Santa Barbara County,16,4,4,4,89,0.18,0.04,0.04,0.04,0,0,0,0
California,Santa Clara County,71,6,6,8,372,0.19,0.02,0.02,0.02,0,0,0,0
California,Santa Cruz County,16,7,7,2,52,0.31,0.13,0.13,0.04,0,0,0,0
California,Shasta County,18,11,10,5,48,0.38,0.23,0.21,0.1,0,0,0,0
California,Sierra County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
California,Siskiyou County,6,5,2,4,14,0.43,0.36,0.14,0.29,0,0,0,0
California,Solano County,19,4,4,4,96,0.2,0.04,0.04,0.04,0,0,0,0
California,Sonoma County,13,4,4,3,99,0.13,0.04,0.04,0.03,0,0,0,0
California,Stanislaus County,40,9,9,8,94,0.43,0.1,0.1,0.09,0,0,0,0
California,Sutter County,8,4,3,2,21,0.38,0.19,0.14,0.1,0,0,0,0
California,Tehama County,6,6,4,6,11,0.55,0.55,0.36,0.55,1,1,0,1
California,Trinity County,2,2,0,0,5,0.4,0.4,0.0,0.0,0,0,0,0
California,Tulare County,42,16,13,8,78,0.54,0.21,0.17,0.1,1,0,0,0
California,Tuolumne County,1,0,0,1,11,0.09,0.0,0.0,0.09,0,0,0,0
California,Ventura County,27,9,9,5,173,0.16,0.05,0.05,0.03,0,0,0,0
California,Yolo County,17,1,0,2,41,0.41,0.02,0.0,0.05,0,0,0,0
California,Yuba County,6,4,4,5,14,0.43,0.29,0.29,0.36,0,0,0,0
Colorado,Adams County,46,17,17,8,96,0.48,0.18,0.18,0.08,0,0,0,0
Colorado,Alamosa County,2,2,1,1,4,0.5,0.5,0.25,0.25,1,1,0,0
Colorado,Arapahoe County,50,6,6,7,147,0.34,0.04,0.04,0.05,0,0,0,0
Colorado,Archuleta County,2,2,1,0,4,0.5,0.5,0.25,0.0,1,1,0,0
Colorado,Baca County,1,1,0,0,2,0.5,0.5,0.0,0.0,1,1,0,0
Colorado,Bent County,1,1,0,1,1,1.0,1.0,0.0,1.0,1,1,0,1
Colorado,Boulder County,20,1,1,4,68,0.29,0.01,0.01,0.06,0,0,0,0
Colorado,Broomfield County,1,1,1,0,15,0.07,0.07,0.07,0.0,0,0,0,0
Colorado,Chaffee County,1,0,0,0,5,0.2,0.0,0.0,0.0,0,0,0,0
Colorado,Cheyenne County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Clear Creek County,1,1,0,0,3,0.33,0.33,0.0,0.0,0,0,0,0
Colorado,Conejos County,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Costilla County,2,2,2,2,2,1.0,1.0,1.0,1.0,1,1,1,1
Colorado,Crowley County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Custer County,1,1,0,0,1,1.0,1.0,0.0,0.0,1,1,0,0
Colorado,Delta County,1,1,1,1,7,0.14,0.14,0.14,0.14,0,0,0,0
Colorado,Denver County,57,17,17,27,143,0.4,0.12,0.12,0.19,0,0,0,0
Colorado,Dolores County,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
Colorado,Douglas County,1,0,0,0,61,0.02,0.0,0.0,0.0,0,0,0,0
Colorado,Eagle County,0,0,0,0,14,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,El Paso County,50,22,20,10,130,0.38,0.17,0.15,0.08,0,0,0,0
Colorado,Elbert County,1,1,1,1,7,0.14,0.14,0.14,0.14,0,0,0,0
Colorado,Fremont County,8,6,5,3,14,0.57,0.43,0.36,0.21,1,0,0,0
Colorado,Garfield County,0,0,0,0,11,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Gilpin County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Grand County,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Gunnison County,2,1,0,0,4,0.5,0.25,0.0,0.0,1,0,0,0
Colorado,Hinsdale County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Huerfano County,1,0,0,0,2,0.5,0.0,0.0,0.0,1,0,0,0
Colorado,Jackson County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Jefferson County,24,6,6,7,137,0.18,0.04,0.04,0.05,0,0,0,0
Colorado,Kiowa County,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
Colorado,Kit Carson County,2,2,0,0,3,0.67,0.67,0.0,0.0,1,1,0,0
Colorado,La Plata County,0,0,0,0,10,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Lake County,1,1,1,0,2,0.5,0.5,0.5,0.0,1,1,1,0
Colorado,Larimer County,22,6,6,4,73,0.3,0.08,0.08,0.05,0,0,0,0
Colorado,Las Animas County,6,3,1,2,6,1.0,0.5,0.17,0.33,1,1,0,0
Colorado,Lincoln County,1,1,1,1,2,0.5,0.5,0.5,0.5,1,1,1,1
Colorado,Logan County,5,5,2,3,6,0.83,0.83,0.33,0.5,1,1,0,1
Colorado,Mesa County,14,6,6,4,29,0.48,0.21,0.21,0.14,0,0,0,0
Colorado,Mineral County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Moffat County,3,3,2,0,4,0.75,0.75,0.5,0.0,1,1,1,0
Colorado,Montezuma County,3,3,1,0,7,0.43,0.43,0.14,0.0,0,0,0,0
Colorado,Montrose County,5,4,3,1,10,0.5,0.4,0.3,0.1,1,0,0,0
Colorado,Morgan County,4,2,2,1,8,0.5,0.25,0.25,0.12,1,0,0,0
Colorado,Otero County,3,2,2,2,7,0.43,0.29,0.29,0.29,0,0,0,0
Colorado,Ouray County,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Park County,1,1,0,0,5,0.2,0.2,0.0,0.0,0,0,0,0
Colorado,Phillips County,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Pitkin County,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Prowers County,3,3,2,1,5,0.6,0.6,0.4,0.2,1,1,0,0
Colorado,Pueblo County,39,22,20,10,54,0.72,0.41,0.37,0.19,1,0,0,0
Colorado,Rio Blanco County,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Rio Grande County,2,2,1,2,3,0.67,0.67,0.33,0.67,1,1,0,1
Colorado,Routt County,0,0,0,0,8,0.0,0.0,0.0,0.0,0,0,0,0
Colorado,Saguache County,1,1,1,1,2,0.5,0.5,0.5,0.5,1,1,1,1
Colorado,San Juan County,1,1,0,0,1,1.0,1.0,0.0,0.0,1,1,0,0
